"나이","성별","키_cm","몸무게_kg","앉아서앞으로구부리기_cm","윗몸일으키기","멀리뛰기","등급","bmr"
39,0,175.5,72.82,6.8,45,201,"C",1486.7
24,1,159.3,72.4,16.4,39,139,"D",1524
22,1,161.5,48.9,19.3,55,160,"B",1311.7
57,0,175.8,59.8,11.8,33,180,"B",1277.6
22,0,166.8,57.9,8.1,47,225,"C",1407.7
64,0,170,65.9,5.8,22,162,"C",1292.8
22,1,161.8,52.4,25.6,67,192,"A",1345.9
55,1,148.6,52.3,15,24,105,"C",1166.1
33,0,167.4,62,18,58,183,"B",1396.4
59,1,162.7,49,14.5,0,130,"D",1141
23,1,167.8,59.42,23.7,40,176,"B",1419.4
59,0,166.1,68.8,19.2,23,153,"C",1337.2
29,0,170.4,68,24.6,57,235,"A",1478.2
29,0,176.9,63.1,12.1,44,244,"C",1442.9
27,0,173.7,73.3,10.1,60,242,"B",1544.4
35,0,180.1,98.3,7.1,54,184,"D",1758.4
28,0,175.6,76.9,8.7,57,217,"C",1577.7
24,0,172.4,60.1,-2.4,48,186,"D",1429.5
23,0,171.5,92.2,21.8,30,222,"D",1740.7
52,1,154.1,60.1,24.2,25,141,"A",1264.9
50,1,160.4,67.5,17.4,25,137,"B",1356.7
39,0,176.1,73,17.8,36,217,"C",1489.5
24,0,169.6,67.2,2.4,32,207,"D",1492.6
55,0,167.3,78,8.2,30,148,"D",1446.4
41,0,171.7,73,17.8,32,202,"C",1472.2
21,1,164.5,44.6,15.1,33,169,"B",1280.6
40,0,174.5,77.7,8.4,35,159,"D",1527
25,0,177.8,68.5,19,41,191,"C",1515.1
22,1,167.9,66.7,27.7,51,176,"A",1494.1
36,0,172.3,87.5,12.5,41,200,"B",1635.9
37,1,170.6,83.7,17.2,51,159,"B",1591.7
25,1,161.5,67.5,11.7,39,112,"C",1476.2
24,1,158.5,51.5,17.6,50,153,"B",1321.9
44,1,161.2,54.4,18.9,42,159,"C",1260.6
23,0,182.3,80.3,3,31,175,"D",1645.9
52,0,171.7,73.96,1.2,31,184,"D",1429.7
29,1,161.6,56.1,13.3,40,181,"C",1348.1
33,0,164.6,63.1,20,64,240,"A",1401.9
21,0,167.5,63.4,15.7,59,234,"B",1466.4
23,1,165.6,58.6,13.7,24,156,"C",1407.5
61,1,157.6,56.9,20.8,20,121,"A",1198.2
24,0,167.2,56.1,24.4,52,229,"B",1381.7
32,0,175.9,77.9,14.9,40,226,"C",1569.1
44,0,165.4,59.7,12.2,48,225,"B",1319
23,1,168.9,58.4,20.5,31,174,"B",1411.6
38,0,166.5,59,13.8,39,213,"B",1342.5
21,1,172.1,59.2,21,53,182,"A",1434.4
23,0,167.2,68.7,11,48,236,"C",1507.4
24,0,173.1,60.4,10.2,62,239,"C",1433.6
60,0,165.3,66.8,12.8,35,174,"B",1311.8
49,1,154,60.7,12.3,31,151,"D",1284.6
52,1,155.7,50.2,20.2,14,126,"C",1172.8
26,0,168.5,76.3,19,59,227,"C",1568.6
28,0,179.8,83,24.4,43,188,"C",1643.8
55,1,146.3,49.9,22.7,23,114,"B",1138.9
30,0,176.7,79.5,28.9,62,222,"B",1595.3
22,0,177.6,71.8,10.2,48,199,"C",1560.6
29,0,180.1,72.4,15.2,52,223,"A",1537.9
57,1,155.8,52.5,20.6,28,137,"B",1171.5
25,1,160.2,42.1,19.1,5,124,"D",1230
28,0,177.9,59.7,23,70,247,"A",1416.7
24,0,172.4,67.98,22.6,59,236,"A",1505.1
49,1,165.7,55.3,23.1,28,152,"A",1253.8
21,0,180.9,77.7,9.1,43,215,"C",1627.8
38,0,182,91.6,15.2,50,218,"A",1683.4
28,0,174.3,81.2,11.6,40,186,"C",1616.7
21,1,154.6,54.8,25.5,44,155,"A",1360.7
38,0,166.2,62.7,19.7,62,228,"A",1377.5
59,1,162.9,61,19.5,0,0,"D",1256.5
37,0,168.6,62.5,4.6,52,190,"C",1384.6
59,1,154.7,60.34,20.5,25,148,"A",1235.4
48,0,169.5,70.2,5.3,39,222,"C",1408.4
21,1,158.6,47.3,20.2,38,173,"A",1295.9
41,0,178.3,86.1,8.5,42,223,"C",1609.8
27,0,169.9,73.9,19.5,65,226,"A",1543.4
61,0,176.5,77.6,-19.7,12,140,"D",1431
27,0,175.7,78.9,6.7,46,203,"C",1601.8
25,1,159.4,53.6,10.9,49,146,"C",1339
34,0,177.6,80.8,9.1,44,234,"C",1590.6
29,0,169.5,81.4,19.5,44,251,"C",1605.2
56,0,164,68.66,10.8,44,199,"B",1346.1
26,0,174.1,79.2,15,46,193,"D",1606.5
23,0,177.2,68.5,8.8,35,193,"D",1523.5
28,1,163,48.02,15.5,35,170,"B",1277.8
22,0,158.7,57.7,11.1,53,226,"B",1391.2
50,0,174,75.4,22.8,28,227,"C",1457
22,1,158,53.5,22.8,40,153,"B",1349.6
47,1,160.2,52.8,22.1,28,165,"C",1229.3
25,0,178.2,74,16.3,52,230,"A",1568.7
23,0,171.2,65.7,12.4,60,237,"B",1485.8
23,1,162.2,60.9,20,38,157,"C",1423.5
24,0,175.1,81.8,9.5,39,192,"D",1642.7
22,1,169,63.4,24.8,61,212,"A",1464.4
21,1,165.7,51.94,19.7,42,196,"A",1353.2
27,1,166,54.1,24.6,29,179,"B",1346.3
25,0,181.2,90,17.8,55,232,"B",1727.7
21,1,162.8,53.9,20.8,39,190,"B",1366.8
53,0,176.6,86.1,10.9,60,192,"C",1550.3
27,0,181.2,68.4,-2.2,45,215,"D",1510.9
21,0,170,56,24,42,230,"C",1399.9
21,0,179,91.4,17.8,35,180,"D",1755.9
24,0,174.1,86.4,18.9,43,223,"C",1685
28,1,159.8,62.68,22,41,164,"A",1412.8
44,0,171.2,74.8,8.4,49,210,"C",1474.4
21,1,162.5,50.64,12.8,29,159,"C",1334.9
38,0,179.8,82.5,-2.1,40,204,"D",1592
49,0,174,73.3,20.2,44,218,"C",1441.6
62,0,163.6,57.3,17,23,185,"C",1208.2
24,0,172.6,73,17.4,59,238,"B",1553.7
55,0,171.1,76.4,9.3,30,160,"B",1437.9
28,0,171.7,77.6,19.7,53,257,"A",1577.4
52,0,162.4,58.3,9.8,37,198,"B",1262.6
24,0,178,79.6,20.4,66,265,"A",1626.8
28,0,175.2,68.8,23.9,55,230,"B",1499.2
36,0,174.8,72.6,22.1,54,239,"C",1497.4
60,0,164.6,78.4,-8.4,15,174,"D",1421.9
60,0,162.7,62.4,3.5,32,195,"D",1264.9
25,1,173.8,61.9,24,41,163,"A",1444.6
50,0,174.7,65.9,17.6,38,212,"B",1367.1
21,0,173.3,74.9,0.9,50,212,"D",1587.3
42,1,160,51.5,26.2,34,161,"A",1240
22,0,175.3,80,7.4,47,237,"C",1635.1
33,0,178,67.5,15.8,53,221,"A",1468.3
30,0,175.7,69.3,16.9,45,211,"B",1495.5
21,0,175.7,71.8,25,62,262,"A",1561.8
42,1,165.4,49.9,16,27,125,"C",1234.4
23,0,171,85,8.2,42,241,"C",1670.7
43,1,165.3,66.8,17.9,35,164,"C",1391.7
63,0,164.8,71.2,21.4,28,157,"B",1339.1
32,0,171,78.2,7.5,57,225,"D",1563.1
27,0,168.9,66.8,18.4,54,229,"A",1473.4
58,1,158.9,57.3,22.4,25,135,"B",1218.5
21,0,174.1,77,5.5,34,228,"D",1608.9
64,0,168.5,66.3,0.4,23,128,"D",1294
59,0,173,67.4,14.9,41,208,"A",1336.1
33,0,165.7,78.5,9.9,45,213,"B",1551.8
28,1,165.2,58.5,26.6,33,164,"A",1382.4
22,0,170.7,72.2,20.7,49,226,"C",1552
21,1,157.3,48.5,28.4,43,196,"A",1305
25,0,171.7,61.6,0.7,37,207,"D",1437.9
24,0,178.6,67.6,19.6,55,212,"A",1512.6
21,1,161.7,63.3,23.7,41,180,"A",1455
46,0,174.3,72.3,5.8,19,190,"D",1446.6
22,1,163,54.2,30.9,36,170,"A",1365.3
35,0,173.1,74.7,24.3,59,215,"A",1519.2
24,1,172.4,65.16,19.8,40,177,"A",1478.1
22,1,160,54.9,12.8,32,164,"C",1366.6
40,0,182.9,77.9,20.3,49,233,"B",1544.1
43,0,168,68.4,21.6,34,225,"D",1411.9
29,1,158.5,53.32,19.2,43,169,"A",1315.9
55,0,168,63.1,17.5,34,195,"B",1304.7
21,0,170.4,107.9,5.9,37,200,"D",1898.9
21,1,162.4,62.2,22.2,41,185,"B",1445.7
40,0,164,79.1,3.2,35,181,"D",1521.6
23,0,172.1,75.96,16.1,50,231,"C",1585.9
33,0,172.6,79.3,16.1,51,200,"D",1571.9
64,0,164.2,63.24,19.1,29,168,"C",1256.9
23,1,169.4,48.8,22.2,27,138,"C",1320.3
26,0,170.9,70.9,16.1,53,219,"A",1521.1
21,1,149.9,48.4,23,42,162,"A",1290.8
60,0,172.7,78,16.8,37,190,"C",1432.7
50,0,174,80.2,3.2,27,191,"D",1503.1
28,1,160.8,54,16.4,46,166,"B",1331.2
52,1,153.8,61.7,19.4,24,143,"C",1279.8
31,0,174.5,74,23,37,211,"C",1533.8
36,1,159.6,47.9,21.2,31,148,"A",1232.9
28,0,169.7,64.9,18,57,225,"A",1451.9
61,1,153.4,49.1,24.8,26,120,"B",1115.8
24,0,181.8,66.7,13.3,46,236,"C",1509.8
56,0,184.6,90.5,-18,20,211,"D",1592.9
37,0,179.2,89.5,21.9,45,232,"A",1662.9
58,1,158.9,55.7,26.3,31,132,"B",1203.1
60,0,164,59.4,5,35,165,"C",1238.4
30,1,163.5,55.6,23.9,34,162,"A",1342.1
48,1,159.1,56.2,22.8,30,168,"B",1255.3
30,0,174.7,71.2,10.4,60,197,"B",1512
33,1,170.5,54,27.6,52,186,"A",1325.2
22,1,176.6,54.8,20,41,195,"A",1395.6
52,0,168.8,74.3,22.4,23,188,"D",1427.7
55,1,152.1,59.3,26.4,16,136,"B",1239.6
29,0,171,74.5,13.2,46,205,"D",1541.7
64,1,156.6,58.2,12.5,0,73,"D",1194.8
40,0,174.2,77,20.7,60,227,"A",1519.8
38,0,171.7,91.6,16.1,58,237,"B",1664.8
28,0,161.9,61.7,10,56,250,"C",1407.1
21,1,166.6,65.42,25.9,41,181,"B",1484.2
34,0,176.3,74,17.7,56,218,"B",1522.9
35,0,172.9,64.9,2,59,218,"D",1424.8
24,1,158.4,53.7,19.9,40,162,"A",1342.8
26,0,179.4,92.1,16.2,60,245,"D",1739.9
44,0,167.1,71.2,16.5,42,202,"B",1432.5
36,0,169.5,70.6,23.4,50,236,"A",1468.7
45,1,155.7,43.3,14.2,17,133,"D",1139.4
51,1,156,63.3,16.1,20,162,"D",1303.8
55,0,169.3,71.9,5.4,33,199,"C",1391.5
62,0,171.2,51.7,15.2,39,178,"A",1168.1
23,1,165.6,48.6,22.7,28,140,"C",1311.5
42,0,172.8,80.1,20.9,49,233,"A",1537.6
38,1,164.4,56.2,17.1,29,169,"B",1311.8
56,1,154.6,67.4,11.9,15,105,"D",1317.1
33,0,180.8,73.64,7.5,48,223,"C",1532.3
62,0,175.8,66.6,8,20,171,"C",1319.4
21,1,161.1,50.6,26.8,51,160,"A",1332
35,0,173.3,73.4,14.5,48,199,"B",1507.1
60,0,171.2,69.8,18.9,28,184,"C",1351.2
21,1,167.4,55.5,27.3,49,217,"A",1390.4
22,1,166.1,41.6,13.3,25,146,"C",1249.9
23,1,158,57,24,46,188,"A",1378.5
51,1,156.4,76.8,19.8,0,105,"D",1434.1
63,0,175.8,86.7,0.1,22,150,"D",1507.7
40,1,158.5,56.9,16.1,17,161,"D",1298.5
24,0,179.1,70.9,16.4,45,191,"C",1545.2
31,1,157.6,53.8,6.5,23,158,"D",1309.5
57,0,167.7,73.8,-4.5,27,139,"D",1397.4
33,0,181.6,73.4,18.9,55,230,"A",1531.4
54,0,160.7,59.7,19.5,51,206,"A",1263.6
22,0,172.9,72,20.4,56,234,"A",1554
23,0,175.1,82.7,11.1,58,217,"D",1656
59,0,166.3,77.1,14.5,15,162,"D",1417.2
38,0,171,69.3,18.3,48,220,"A",1449.5
28,0,175.5,86.8,9,56,167,"D",1672.6
62,1,161.7,58.3,19.2,36,145,"B",1214.3
30,0,178,91.8,-3.6,18,211,"D",1715.7
25,0,170.4,70.9,12.9,52,206,"C",1524.9
28,1,158.8,52.2,24.9,27,141,"B",1310.4
28,0,175.7,77.2,22.5,60,228,"A",1580.8
22,0,166.7,69.8,10.2,51,198,"C",1521.7
25,0,173.4,68.4,20.1,48,185,"C",1506.3
51,0,176.6,91.2,1.5,29,155,"D",1608.7
21,1,169.8,67,30.2,39,183,"A",1505.1
57,1,159.3,47.8,22.4,19,107,"C",1132.7
62,1,155.5,52.8,22.4,30,148,"B",1150.4
27,0,167,74.6,13.8,51,196,"B",1544.9
64,1,155.9,51.5,22.2,25,107,"C",1129.2
22,0,177.1,63.3,12.3,55,250,"B",1478.1
62,1,148.8,57.9,15.5,19,118,"D",1187.3
48,1,144.5,51.8,14,30,108,"C",1186.8
49,0,171.9,76.8,13,35,205,"C",1471.4
22,0,169.3,67,10.8,58,191,"C",1499.5
36,0,177.3,82.32,20.6,48,214,"A",1595.2
26,0,174.2,70.3,23.1,39,215,"C",1521.2
25,0,176.1,77.1,14.6,55,224,"B",1594.6
52,1,163,55.4,20.9,32,154,"A",1235.8
31,0,181.1,75.4,14.4,63,234,"A",1559.1
60,1,156.5,61.22,18.9,13,108,"C",1242.4
41,1,162.3,65.2,1.9,32,163,"D",1380.4
21,1,171.4,70.94,24.6,54,197,"A",1545.8
60,0,173.3,74,7.8,32,198,"C",1395.3
27,0,170.8,68.8,21.8,59,238,"A",1496
25,1,162.4,55.8,23,45,172,"A",1365.5
26,1,160.8,66.12,16.7,17,132,"D",1457
29,1,171,59.5,16.7,44,171,"C",1397.7
21,0,172.9,67.9,-2.2,45,184,"D",1519.4
45,0,170.4,80.8,4.9,37,229,"D",1525.9
24,0,179.5,78.9,6.2,45,167,"C",1622.7
26,1,162.7,51.4,15.7,40,191,"B",1319.1
27,0,181.4,83.1,19,53,232,"A",1652.4
44,1,167.7,56.2,21.5,44,175,"A",1289.6
21,0,176,62.5,19.9,52,262,"B",1473.1
34,0,171.2,88.5,7.4,51,210,"D",1653
30,0,167.8,74.2,25.8,50,203,"B",1528.4
25,0,184.3,85.1,17.2,47,221,"B",1686.2
48,0,171.6,58.5,16,42,202,"A",1299.9
27,0,172.7,76,12.7,57,229,"B",1568.6
35,0,176.5,82.1,10.1,56,252,"B",1596.4
50,0,166.4,84,2.4,30,153,"D",1525.9
26,1,172.9,65.4,29.2,50,188,"A",1471.9
38,0,179,83.4,-14.1,32,182,"D",1599.2
34,0,171.1,66.3,17.9,55,245,"A",1439.7
25,1,160.7,59.2,14.6,42,197,"B",1395.1
28,0,171.4,79.8,22.9,66,258,"A",1598
54,0,166,62.5,18.2,48,234,"A",1300
58,1,154.8,51.3,18.4,17,112,"C",1153.5
25,0,175.9,81.1,14.9,56,211,"A",1632.7
22,1,169.5,61.6,14.9,52,176,"B",1448.1
60,0,168,59,15.9,37,191,"A",1241.8
21,1,165.9,71,25.1,34,180,"B",1536.5
58,0,168.4,63.8,4.3,24,186,"C",1298
28,0,174.2,75.6,12,52,240,"B",1562.7
26,0,172.6,75.5,17.2,52,240,"C",1568.3
27,0,189.2,78,13.6,49,248,"B",1617.5
50,0,180.8,93.4,9.6,29,200,"D",1642.1
41,1,170.4,63.8,25.8,41,168,"B",1381.5
60,0,164,54.8,15.6,20,159,"C",1194.3
21,0,170.5,64,19.8,73,290,"A",1477.6
60,1,154.6,73.5,9.8,11,98,"D",1356.9
21,1,155.7,44.7,22.6,35,184,"B",1265.7
50,1,166,61.2,16.8,18,130,"C",1306.3
53,0,167.3,72.96,17.6,47,208,"A",1407.5
24,0,175.5,72.6,25.7,55,251,"A",1555.1
55,0,167.8,64.7,16,19,195,"D",1319.7
26,0,187.9,95.4,19.3,47,227,"C",1786.9
45,0,176.6,58.88,27.4,41,209,"A",1326.6
22,1,155.6,47.9,26,44,171,"A",1291.5
22,0,165.2,62.8,22,55,232,"A",1451.8
60,0,175.7,95.22,9,28,189,"B",1603.4
62,0,170.8,79.88,15.2,36,154,"D",1437.9
25,0,167.2,69.5,23.8,60,215,"A",1505.7
25,1,148.7,51,23.6,37,168,"C",1294.8
30,0,181.3,97.36,19.6,51,245,"C",1775
25,0,178.7,63.8,1.5,33,214,"D",1471.6
24,0,175.7,73.9,11.8,56,198,"B",1567.9
61,0,176.5,75.48,12.8,32,193,"A",1410.6
60,0,171.7,71.42,14.8,29,180,"B",1367.7
22,1,161.8,58,26.6,44,198,"A",1399.6
46,1,160.6,67.78,19.8,47,185,"A",1378.6
41,0,178.8,82.6,17.36,39,236,"C",1577.1
24,1,159.8,57.2,12.4,32,176,"C",1379
58,1,150,55.7,17.5,18,120,"B",1187.1
24,0,178.5,95.4,0.7,53,185,"D",1779.3
56,1,153.3,51.6,21.2,29,158,"A",1163.1
40,0,176.9,72.4,14.5,44,196,"A",1480.5
39,0,170.5,71.8,12.5,44,185,"B",1467.9
23,1,161,58.9,19.1,43,203,"B",1402.1
62,1,156.3,67.28,-1.5,0,129,"D",1290.8
30,0,173.7,71.5,17.4,43,213,"C",1513.1
25,0,176.5,80.6,26,53,231,"B",1629
29,1,160.8,78.32,14,31,128,"D",1560
35,0,180.3,77.3,11.1,44,210,"B",1557.1
60,1,166.8,56,21.8,31,123,"A",1210.8
24,1,165.8,82.5,6.6,15,97,"D",1632.6
40,0,170.8,68.5,-1,43,204,"D",1432
37,0,175,63.7,9.1,41,220,"C",1407.6
23,0,176.6,76.2,4.7,29,208,"D",1596.3
55,1,156.4,52.8,24.1,34,134,"A",1184.9
37,0,165.4,71.7,10.7,45,221,"B",1467.1
48,1,164,65.6,24.1,40,142,"C",1354.4
23,0,168.4,62.9,17.8,49,208,"B",1453.9
56,0,172.2,69.5,11,34,193,"B",1369
38,0,178.4,83.02,20.7,41,226,"B",1594.5
59,0,167.9,64.9,14.4,36,201,"B",1303
23,1,165.4,51.2,25.5,38,140,"D",1336.1
30,1,169.3,66.2,14.8,42,186,"C",1454.3
32,1,158.9,49.2,30.5,42,202,"A",1262.9
27,0,171.2,73.1,8.4,45,209,"C",1538
42,0,175.6,95.4,-5.5,15,62,"D",1689.5
50,0,172.5,81,20.9,40,214,"A",1508.1
33,0,174.9,80.2,19.3,53,233,"A",1584.6
43,0,173.3,64.76,20,48,238,"A",1386.5
62,0,168.4,71.6,17.1,45,213,"B",1354.1
27,1,156.5,60.8,21.3,34,160,"A",1393.5
53,1,155.5,49.6,24.9,34,126,"B",1162
56,1,156.1,53.9,17.1,22,119,"B",1190.2
21,0,172.7,76.2,2.5,55,160,"D",1598.7
24,0,166.8,70,16.7,60,244,"A",1514.4
24,1,163.2,70.2,23.1,47,165,"A",1509.9
60,1,148.4,50.1,32.6,13,130,"B",1121.1
22,0,168,60.8,15.9,57,233,"B",1437.7
43,0,174,77,5.2,29,180,"D",1505.3
37,0,170,74.4,17.4,37,224,"C",1501.3
29,1,163,54.7,32.9,66,207,"A",1337.2
48,1,160.5,58,15,37,140,"B",1275.1
32,0,177.3,77.4,24.2,36,193,"C",1566.8
25,0,170,78.9,10.2,48,245,"C",1600.9
63,1,146.5,41.4,21.8,12,131,"B",1020
25,0,179.8,87.6,18,45,234,"B",1702.1
22,0,168.7,75.1,15.5,50,160,"C",1576.2
28,1,169.6,68,21.4,26,179,"C",1481.5
56,0,171.8,77.5,0.4,23,180,"D",1445
45,1,156.8,51.9,18.4,34,128,"D",1224
56,1,159.9,80.72,24.5,18,138,"D",1454.5
61,0,170.9,69,19.3,34,203,"A",1338.3
39,0,179.3,77.9,6.9,32,234,"D",1542.3
48,0,180.2,87,16.8,42,227,"A",1589
39,0,169.2,84.6,13.9,34,165,"D",1588.4
24,1,154.2,37.3,17.1,17,134,"D",1177.8
32,1,170,56.6,10.9,43,159,"C",1354
30,1,162.7,51.1,21.2,33,181,"A",1297.4
22,0,166.2,78.7,7.4,40,204,"D",1606.3
44,1,155.4,80.4,16.6,17,126,"D",1499.8
25,0,178.6,78.5,23.8,60,224,"A",1612.6
43,1,161,65.8,18,36,100,"D",1374.4
33,0,174.9,79.9,16.2,76,244,"A",1581.8
63,0,164.2,59.1,12,24,178,"C",1221.8
38,0,175.7,70.7,15.1,43,236,"B",1471.4
27,1,161.6,47.1,20,34,159,"C",1271.1
26,1,160.9,51.5,29.7,36,168,"B",1316.8
22,1,165.7,59.4,14.9,27,149,"D",1420.1
27,0,177.9,87.8,18.3,58,218,"C",1691.2
32,1,168,59.5,13.1,51,182,"C",1378.2
30,0,178.3,76,20.9,47,222,"A",1564.5
55,1,156.3,54.9,16.1,16,135,"B",1204.9
28,1,164.9,54.18,17.7,42,175,"B",1340.3
26,1,156.9,63.5,24.8,50,177,"B",1424.8
53,1,139.8,64.72,7.8,7,125,"D",1278.9
38,0,173.2,94.1,3,44,170,"D",1691.5
27,0,182.1,83.2,14.1,62,245,"B",1654.6
51,0,159,62.3,15.7,44,198,"A",1299.6
47,1,157,70.9,14.8,19,132,"D",1397.3
25,1,157.8,44.8,18.9,38,162,"A",1251.6
30,0,178.5,70.1,15.4,52,245,"A",1508.3
22,1,162.2,43.7,15.8,39,168,"C",1263.1
28,1,169.3,68.1,24.8,33,175,"A",1481.9
27,1,156.3,50.7,25,60,202,"A",1296.2
56,1,159.2,47.9,12.1,26,141,"C",1138.2
24,0,161.3,63.3,4.9,53,196,"D",1440.2
35,0,176.6,70.1,14.2,54,262,"B",1481.3
48,0,178.4,73.8,10.4,46,180,"B",1459
59,0,171,66.2,15.6,41,184,"A",1321
59,0,179.3,69.8,15.2,23,178,"C",1370.5
27,0,169.6,68.5,22.1,59,261,"A",1491
64,1,161.7,63.5,-6.1,0,70,"D",1254.9
21,1,171.9,69.5,17.6,34,141,"C",1532.9
33,0,174.8,69.4,17.7,59,241,"A",1480.8
28,0,175.8,93.3,11.5,38,215,"D",1735.5
43,0,167.8,68.24,12.5,31,214,"D",1410
21,1,167.9,57.6,24.4,52,196,"B",1411.5
29,0,179.4,77.6,27,54,248,"A",1586.6
51,0,167.4,56.4,9.2,46,212,"C",1258.1
26,0,183,91.5,24,52,218,"A",1740.6
60,1,160.1,60.3,15,11,101,"C",1240.1
25,0,168.4,67.3,16.8,45,198,"B",1486.7
22,1,164.5,54.6,23.3,40,185,"A",1371.9
60,0,173.2,80.5,8.6,48,211,"C",1457.6
22,1,158.1,76.1,5.2,29,137,"D",1566.7
63,0,162.6,68.7,18.6,34,189,"A",1311.1
32,0,173,74.7,23,76,274,"A",1533.1
26,0,172.3,118.6,3,29,195,"D",1981.5
25,1,173,66.2,26.3,43,183,"A",1484.4
27,1,158.4,51,13.1,39,148,"C",1302.8
25,0,169.7,53,17.3,34,174,"D",1351.8
38,0,158.9,69.9,2.5,26,145,"D",1433.5
24,0,177.5,83.2,21.6,48,254,"D",1660.4
21,0,171.1,57.7,13.6,50,229,"B",1418.2
53,0,170.9,66.86,-4.5,14,153,"D",1355.4
30,0,170.5,67.8,11,51,204,"B",1471.8
22,0,166,62.4,19.1,45,185,"C",1449.4
21,0,168.2,64,15.5,66,233,"B",1473.5
41,0,174.7,75.2,22,46,211,"A",1498.7
61,0,166.9,68,18.2,28,190,"B",1321.5
50,0,183.6,83.9,21.5,46,227,"A",1555.9
31,0,173.4,84.9,1.4,33,190,"D",1636.5
37,0,166.8,74.2,3.1,43,223,"D",1493.7
55,0,164.9,61.6,14.4,27,189,"C",1284.7
51,1,167.2,58.52,12.8,21,165,"C",1278.1
23,1,160.3,46.8,12.7,17,126,"D",1284.7
37,0,169.1,81.6,-6.3,38,161,"D",1568.8
50,0,175,76.9,13,36,198,"C",1473.2
23,0,168,57.3,14.9,50,242,"B",1399.4
48,0,177.1,67.8,16.2,56,208,"A",1399.1
42,0,169,72.3,20.7,46,240,"A",1455.9
24,1,154.7,62.4,22,49,179,"A",1419.7
22,0,170.9,57.1,12.1,49,226,"B",1407.4
54,1,155.9,62.7,10,12,100,"D",1283.7
42,0,171.5,91,3.2,27,203,"D",1639.9
25,1,164.9,67,15.4,35,149,"B",1477.5
50,0,168.8,76.8,5.5,39,197,"C",1461.1
24,0,174.5,79.94,20.2,62,268,"B",1623.7
32,0,184.7,85.6,26.1,50,237,"B",1658.8
61,0,171.2,60.9,-9.9,24,176,"D",1261.1
23,1,157.1,48.6,20.4,43,162,"A",1296.2
23,0,173.2,66.7,19.2,57,218,"C",1499
21,1,160.7,59.38,28.5,37,155,"A",1415.6
29,0,175.4,70.4,18,60,250,"A",1510.3
33,0,176.8,72.2,15.5,45,218,"B",1511.3
64,1,153.8,54.3,20,19,111,"C",1152.3
51,0,173.8,64.6,12.8,53,220,"B",1348.3
22,0,170.8,67.2,22.1,58,234,"A",1504.2
55,1,155.1,66.5,18.2,13,102,"D",1314.1
26,1,162.8,54.4,22.9,57,186,"A",1348.1
26,0,164.1,63.4,14.6,44,223,"C",1436.8
55,0,168.3,65.7,14.6,33,191,"C",1330.2
27,0,185.3,75.6,16.3,56,211,"C",1587.4
33,0,177.5,68,12.1,52,195,"B",1472.2
58,1,151.3,48.5,19,25,131,"B",1120.3
33,1,159.7,51.9,16.7,35,144,"C",1285.6
23,1,169.9,54.2,22.8,21,133,"D",1373
40,0,173.8,77.6,9.8,43,198,"B",1524.8
22,0,175.1,65.04,13.6,57,234,"B",1491.2
35,0,186.4,75.7,24,50,230,"A",1552.7
57,1,161.1,52.3,19.4,27,159,"B",1179.2
45,0,175.6,76.9,10.2,53,222,"B",1497.8
37,1,173.5,58.7,23.8,42,189,"A",1356.9
62,1,159.8,57.1,22.3,13,127,"B",1199.4
31,1,165,57.3,18,0,123,"D",1356.4
21,1,161.4,57.5,2.5,18,153,"D",1398.8
56,1,158.4,49.3,9,5,116,"D",1150.2
21,0,173.7,63.2,13.1,57,244,"B",1475.7
32,0,172.8,76.1,18.3,55,239,"A",1546.2
27,0,173.5,74.5,14.1,50,230,"C",1555.6
27,1,164.7,61.7,14.6,47,117,"C",1416.9
28,1,158,51.9,30.9,70,191,"A",1306
47,0,173.2,80.4,-1,37,182,"D",1517.7
24,0,179.7,72.3,14.1,55,229,"C",1559.7
28,0,176.8,85.9,6.3,49,226,"C",1666.3
25,0,164.9,71.7,18.7,70,223,"B",1522.6
62,0,167.7,78.9,7.1,26,174,"B",1422.9
25,0,185.9,78.76,5,39,219,"D",1628.2
26,1,157.7,52.9,19,47,173,"A",1324.5
39,1,158.5,57.1,20.1,21,139,"C",1305.2
26,0,178.9,82.8,11.6,44,192,"C",1649.7
37,0,171.2,79.1,14.4,33,214,"D",1548.6
29,0,182.4,91.3,25.5,51,215,"A",1723.5
57,1,167,56.4,23.1,37,165,"A",1229.1
61,0,170,72.6,6.3,24,165,"C",1371.3
57,0,164.9,60.7,7.2,33,182,"C",1266.6
27,1,159,50.8,22.5,32,148,"B",1302
36,0,159,51.5,14,26,129,"D",1266.4
38,0,167,63,24.21,49,228,"A",1381.8
29,0,181.4,81.12,8.1,42,178,"C",1624
31,0,178.3,79.1,15,46,217,"B",1589.6
25,1,163.3,53.4,21.1,43,169,"A",1344.1
39,0,167.5,72.8,8.6,46,205,"C",1472.1
23,0,168.2,65.8,12.5,48,213,"B",1481.3
21,0,170.9,71.1,22.2,57,249,"C",1546.5
33,0,172.8,70.2,7.8,40,199,"C",1484.9
29,0,175.6,84.5,12.5,49,240,"B",1646
23,1,161.6,52.4,13,36,185,"C",1340.8
42,1,162.7,69.1,21,16,136,"D",1413.8
28,1,160.9,67.2,23.2,32,163,"B",1458.1
48,0,177.5,78.5,-0.5,60,212,"D",1502.5
22,1,157.9,47.2,23.6,46,188,"A",1288.9
21,1,162.7,57.2,34.4,43,188,"A",1398.3
38,0,168,75.8,23,61,253,"A",1506.5
